coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.988363,121.576536/24.97848,121.55545",途經恆光橋,3.3 公里,12 分,3.3,12
"24.988363,121.576536/24.97848,121.55545",途經指南路二段,4.0 公里,12 分,4.0,12
"24.988363,121.576536/24.97848,121.55545",途經指南路二段和恆光街61巷,3.3 公里,10 分,3.3,10
"24.988363,121.576536/24.980602,121.556177",途經指南路二段,4.0 公里,13 分,4.0,13
"24.988363,121.576536/24.980602,121.556177",途經木新路三段,3.2 公里,11 分,3.2,11
"24.988363,121.576536/24.980602,121.556177",途經木新路二段和木新路三段,2.5 公里,9 分,2.5,9
"24.988363,121.576536/24.984144,121.569064",途經木新路二段,1.1 公里,5 分,1.1,5
"24.988363,121.576536/24.984707,121.563125",途經保儀路,1.6 公里,7 分,1.6,7
"24.988363,121.576536/24.984707,121.563125",途經木新路二段,1.8 公里,8 分,1.8,8
"24.988363,121.576536/24.9856,121.54531",途經106縣道,4.4 公里,15 分,4.4,15
"24.988363,121.576536/24.9856,121.54531",途經恆光橋,6.4 公里,20 分,6.4,20
"24.988363,121.576536/24.9856,121.54531",途經指南路二段,6.0 公里,18 分,6.0,18
"24.988363,121.576536/24.986301,121.567855",途經木新路二段,1.5 公里,6 分,1.5,6
"24.988363,121.576536/24.986301,121.567855",途經秀明路二段和木柵路三段,1.7 公里,6 分,1.7,6
"24.988363,121.576536/24.986301,121.567855",途經道南橋和指南路一段,1.0 公里,5 分,1.0,5
"24.988363,121.576536/24.987144,121.560627",途經秀明路一段/106縣道,2.4 公里,11 分,2.4,11
"24.988363,121.576536/24.987144,121.560627",途經秀明路二段和木柵路三段,2.3 公里,9 分,2.3,9
"24.988363,121.576536/24.987144,121.560627",途經興隆路四段105巷,1.9 公里,9 分,1.9,9
"24.988363,121.576536/24.987507,121.549827",途經106縣道,3.3 公里,11 分,3.3,11
"24.988363,121.576536/24.987507,121.549827",途經指南路二段,5.2 公里,16 分,5.2,16
"24.988363,121.576536/24.987507,121.549827",途經興隆路四段105巷和106縣道,3.0 公里,12 分,3.0,12
"24.988363,121.576536/24.988241,121.55561",途經106縣道,2.7 公里,9 分,2.7,9
"24.988363,121.576536/24.988241,121.55561",途經秀明路二段和106縣道,2.6 公里,9 分,2.6,9
"24.988363,121.576536/24.988241,121.55561",途經興隆路四段105巷,2.4 公里,10 分,2.4,10
"24.988363,121.576536/24.98862,121.54361",途經106縣道,4.0 公里,13 分,4.0,13
"24.988363,121.576536/24.98862,121.54361",途經恆光橋,6.7 公里,22 分,6.7,22
"24.988363,121.576536/24.98862,121.54361",途經指南路二段,6.3 公里,19 分,6.3,19
"24.988363,121.576536/24.995563,121.547092",途經恆光橋和景興路,8.3 公里,27 分,8.3,27
"24.988363,121.576536/24.995563,121.547092",途經景興路,7.9 公里,24 分,7.9,24
"24.988363,121.576536/24.995563,121.547092",途經萬芳路,5.1 公里,18 分,5.1,18
"24.988363,121.576536/24.9966,121.540295",途經106縣道,5.4 公里,20 分,5.4,20
"24.988363,121.576536/24.9966,121.540295",途經恆光橋和景文街,8.0 公里,27 分,8.0,27
"24.988363,121.576536/24.9966,121.540295",途經景文街,7.5 公里,24 分,7.5,24
"24.988363,121.576536/24.996842,121.559651",途經106縣道,3.2 公里,11 分,3.2,11
"24.988363,121.576536/24.996842,121.559651",途經興隆路三段,2.9 公里,12 分,2.9,12
"24.988363,121.576536/24.996842,121.559651",途經萬芳路,3.1 公里,11 分,3.1,11
"24.988363,121.576536/24.998811,121.56789",途經萬芳路,2.2 公里,8 分,2.2,8
"24.988363,121.576536/25.001447,121.539037",途經羅斯福路五段218巷,8.9 公里,28 分,8.9,28
"24.988363,121.576536/25.001447,121.539037",途經萬芳路,5.9 公里,21 分,5.9,21
"24.988363,121.576536/25.001545,121.536446",途經106縣道,6.3 公里,22 分,6.3,22
"24.988363,121.576536/25.001545,121.536446",途經寶高路,8.3 公里,28 分,8.3,28
"24.988363,121.576536/25.001545,121.536446",途經指南路二段,8.5 公里,26 分,8.5,26
"24.988363,121.576536/25.005386,121.55716",途經106縣道和興隆路三段,4.6 公里,16 分,4.6,16
"24.988363,121.576536/25.005386,121.55716",途經萬寧街,5.7 公里,26 分,5.7,26
