"25.007528,121.537188/25.005386,121.55716",途經興隆路二段,distance,3.4 公里,13 分 3.4 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.005386,121.55716",途經興隆路二段,trip duration,13 分,13 分 3.4 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.005386,121.55716",途經汀州路四段和興隆路二段,distance,3.7 公里,16 分 3.7 公里    途經汀州路四段和興隆路二段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.005386,121.55716",途經汀州路四段和興隆路二段,trip duration,16 分,16 分 3.7 公里    途經汀州路四段和興隆路二段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.005386,121.55716",途經辛亥路四段,distance,3.9 公里,14 分 3.9 公里    途經辛亥路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.005386,121.55716",途經辛亥路四段,trip duration,14 分,14 分 3.9 公里    途經辛亥路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.005386,121.55716/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.998811,121.56789",途經興隆路二段,distance,4.3 公里,16 分 4.3 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.998811,121.56789/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.998811,121.56789",途經興隆路二段,trip duration,16 分,16 分 4.3 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.998811,121.56789/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.998811,121.56789",途經萬芳路,distance,4.6 公里,18 分 4.6 公里    途經萬芳路 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.998811,121.56789/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.998811,121.56789",途經萬芳路,trip duration,18 分,18 分 4.6 公里    途經萬芳路 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.998811,121.56789/data=!3m1!4b1!4m2!4m1!3e1"
